dimension,regionX,regionZ,chunkX,chunkZ,scanTick,inhabitedTicks,surfaceY,biome,isSpawn,dominantStone,dominantStoneEffect,chunkMemorable,chunkForgettable,renewalAction,renewalRank,source,status
minecraft:overworld,-2,-2,0,0,1297821,0,255,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,1,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,2,1297821,0,259,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,3,1297821,0,265,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,4,1297821,0,265,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,5,1297821,0,267,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,6,1297821,0,259,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,7,1297821,0,259,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,8,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,9,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,10,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,11,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,12,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,13,1297821,0,255,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,14,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,15,1297821,0,259,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,16,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,17,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,18,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,19,1297821,0,253,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,20,1297821,0,255,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,21,1297821,0,261,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,22,1297821,0,263,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,23,1297821,0,261,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,24,1297821,0,261,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,25,1297821,0,259,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,26,1297821,0,261,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,27,1297821,0,249,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,28,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,29,1297821,0,259,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,30,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,0,31,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,0,1297821,0,253,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,1,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,2,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,3,1297821,0,259,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,4,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,5,1297821,0,259,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,6,1297821,0,255,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,7,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,8,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,9,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,10,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,11,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,12,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,13,1297821,0,255,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,14,1297821,0,255,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,15,1297821,0,259,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,16,1297821,0,259,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,17,1297821,0,259,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,18,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,19,1297821,0,253,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,20,1297821,0,257,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,21,1297821,0,261,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,22,1297821,0,263,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,23,1297821,0,261,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,24,1297821,0,261,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,25,1297821,0,261,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,26,1297821,0,263,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,27,1297821,0,265,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,28,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,29,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,30,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,1,31,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,0,1297821,0,253,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,1,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,2,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,3,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,4,1297821,0,255,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,5,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,6,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,7,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,8,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,9,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,10,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,11,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,12,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,13,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,14,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,15,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,16,1297821,0,255,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,17,1297821,0,259,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,18,1297821,0,255,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,19,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,20,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,21,1297821,0,259,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,22,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,23,1297821,0,255,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,24,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,25,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,26,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,27,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,28,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,29,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,30,1297821,0,253,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,2,31,1297821,0,253,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,0,1297821,0,253,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,1,1297821,0,253,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,2,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,3,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,4,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,5,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,6,1297821,0,253,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,7,1297821,0,253,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,8,1297821,0,253,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,9,1297821,0,253,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,10,1297821,0,255,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,11,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,12,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,13,1297821,0,225,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,14,1297821,0,255,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,15,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,16,1297821,0,255,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,17,1297821,0,257,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,18,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,19,1297821,0,253,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,20,1297821,0,255,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,21,1297821,0,255,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,22,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,23,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,24,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,25,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,26,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,27,1297821,0,253,minecraft:plains,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,28,1297821,0,253,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,29,1297821,0,253,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
minecraft:overworld,-2,-2,3,30,1297821,0,253,minecraft:river,0,NONE,NONE,0,1,NONE,,NBT,OK
